EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,SourceFile
28,1,True,27,1,.\$Extend\$RmMetadata,$Repair,,0,1,,False,True,False,False,False,False,Hidden|System,Posix,2026-02-20 19:01:46.0889719,,2026-02-20 19:01:46.0889719,,2026-02-20 19:01:46.0889719,,2026-02-20 19:01:46.0889719,,0,33576399,257,,,,D:\$MFT
28,1,True,27,1,.\$Extend\$RmMetadata,$Repair:$Config,,8,1,,False,False,True,False,False,False,Hidden|System,Posix,2026-02-20 19:01:46.0889719,,2026-02-20 19:01:46.0889719,,2026-02-20 19:01:46.0889719,,2026-02-20 19:01:46.0889719,,0,33576399,257,,,,D:\$MFT
28,1,True,27,1,.\$Extend\$RmMetadata,$Repair:$Corrupt,,4608000,1,,False,False,True,False,False,False,Hidden|System,Posix,2026-02-20 19:01:46.0889719,,2026-02-20 19:01:46.0889719,,2026-02-20 19:01:46.0889719,,2026-02-20 19:01:46.0889719,,0,33576399,257,,,,D:\$MFT
28,1,True,27,1,.\$Extend\$RmMetadata,$Repair:$Verify,,2048000,1,,False,False,True,False,False,False,Hidden|System,Posix,2026-02-20 19:01:46.0889719,,2026-02-20 19:01:46.0889719,,2026-02-20 19:01:46.0889719,,2026-02-20 19:01:46.0889719,,0,33576399,257,,,,D:\$MFT
29,1,True,11,11,.\$Extend,$Deleted,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2026-02-20 19:01:46.0925343,,2026-02-20 19:01:46.0925343,,2026-02-20 19:01:46.0925343,,2026-04-10 12:02:41.1311220,2026-02-20 19:01:46.0925343,0,687883613,257,,,,D:\$MFT
30,1,True,27,1,.\$Extend\$RmMetadata,$TxfLog,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2026-02-20 19:01:46.1093774,,2026-02-20 19:01:46.4679319,2026-02-20 19:01:46.1093774,2026-02-20 19:01:46.4679319,2026-02-20 19:01:46.1093774,2026-02-20 19:01:46.4679319,2026-02-20 19:01:46.1093774,0,34812154,258,,,,D:\$MFT
31,1,True,27,1,.\$Extend\$RmMetadata,$Txf,,0,1,,True,False,False,False,False,False,-2147483642,Posix,2026-02-20 19:01:46.1093774,,2026-02-20 19:01:46.1093774,,2026-02-20 19:01:46.1093774,,2026-02-20 19:01:46.1093774,,0,33577295,258,,$TXF_DATA,,D:\$MFT
32,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$Tops,,100,1,,False,True,False,False,False,False,Hidden|System,Posix,2026-02-20 19:01:46.1093774,,2026-02-20 19:01:46.1093774,,2026-02-20 19:01:46.1093774,,2026-02-20 19:01:46.1093774,,0,687883577,258,,,,D:\$MFT
32,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$Tops:$T,,1048576,1,,False,False,True,False,False,False,Hidden|System,Posix,2026-02-20 19:01:46.1093774,,2026-02-20 19:01:46.1093774,,2026-02-20 19:01:46.1093774,,2026-02-20 19:01:46.1093774,,0,687883577,258,,,,D:\$MFT
33,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLog.blf,.blf,65536,1,,False,False,False,False,False,False,Archive,Posix,2026-02-20 19:01:46.1222014,,2026-04-09 23:15:23.1299643,2026-02-20 19:01:46.1222014,2026-04-09 23:15:23.1299643,2026-02-20 19:01:46.1222014,2026-04-09 23:15:23.1299643,2026-02-20 19:01:46.1222014,39216,662591739,259,,,,D:\$MFT
34,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLogContainer00000000000000000001,,10485760,1,,False,False,False,False,False,False,Archive,Posix,2026-02-20 19:01:46.1428649,,2026-04-09 23:15:23.1299643,2026-02-20 19:01:46.1428649,2026-04-09 23:15:23.1299643,2026-02-20 19:01:46.1428649,2026-04-09 23:15:23.1299643,2026-02-20 19:01:46.1428649,0,662591614,260,,,,D:\$MFT
35,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLogContainer00000000000000000002,,10485760,1,,False,False,False,False,False,False,Archive,Posix,2026-02-20 19:01:46.4679319,,2026-02-20 19:01:46.6605280,2026-02-20 19:01:46.4679319,2026-02-20 19:01:46.6605280,2026-02-20 19:01:46.4679319,2026-02-20 19:01:46.6605280,2026-02-20 19:01:46.4679319,0,34815228,260,,,,D:\$MFT
36,1,True,5,5,.,System Volume Information,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2026-02-20 19:01:47.0777594,,2026-03-02 14:09:32.0350665,2026-02-20 19:01:47.0777594,2026-03-02 14:09:32.0350665,2026-02-20 19:01:47.0777594,2026-04-10 12:24:13.1616446,2026-02-20 19:01:47.0777594,0,687897490,261,,,,D:\$MFT
37,1,True,36,1,.\System Volume Information,FVE2.{e40ad34d-dae9-4bc7-95bd-b16218c10f72}.1,.1,65536,1,,False,False,False,False,False,False,Hidden|System|Archive,Posix,2026-02-20 19:01:47.0777594,,2026-04-10 12:02:41.1779850,2026-02-20 19:01:47.0777594,2026-04-10 12:02:41.1779850,2026-02-20 19:01:47.0777594,2026-04-10 12:02:41.1779850,2026-02-20 19:01:47.0777594,0,687884229,262,,,,D:\$MFT
38,1,True,36,1,.\System Volume Information,FVE2.{e40ad34d-dae9-4bc7-95bd-b16218c10f72}.2,.2,65536,1,,False,False,False,False,False,False,Hidden|System|Archive,Posix,2026-02-20 19:01:47.1178572,,2026-04-10 12:02:41.1779850,2026-02-20 19:01:47.1178572,2026-04-10 12:02:41.1779850,2026-02-20 19:01:47.1178572,2026-04-10 12:02:41.1779850,2026-02-20 19:01:47.1178572,0,687884311,262,,,,D:\$MFT
39,1,True,36,1,.\System Volume Information,FVE2.{e40ad34d-dae9-4bc7-95bd-b16218c10f72}.3,.3,65536,1,,False,False,False,False,False,False,Hidden|System|Archive,Posix,2026-02-20 19:01:47.1594327,,2026-04-10 12:02:41.1779850,2026-02-20 19:01:47.1594327,2026-04-10 12:02:41.1779850,2026-02-20 19:01:47.1594327,2026-04-10 12:02:41.1779850,2026-02-20 19:01:47.1594327,0,687884385,262,,,,D:\$MFT
40,1,True,36,1,.\System Volume Information,FVE2.{aff97bac-a69b-45da-aba1-2cfbce434750}.1,.1,512,1,,False,False,False,False,False,False,Hidden|System|Archive,Posix,2026-02-20 19:01:47.2125275,,2026-02-20 19:01:48.8791591,2026-02-20 19:01:47.2125275,2026-02-20 19:01:48.8791591,2026-02-20 19:01:47.2125275,2026-02-20 19:01:48.8791591,2026-02-20 19:01:47.2125275,0,33585861,262,,,,D:\$MFT
41,1,True,36,1,.\System Volume Information,FVE2.{aff97bac-a69b-45da-aba1-2cfbce434750}.2,.2,512,1,,False,False,False,False,False,False,Hidden|System|Archive,Posix,2026-02-20 19:01:47.2292990,,2026-02-20 19:01:48.9180436,2026-02-20 19:01:47.2292990,2026-02-20 19:01:48.9180436,2026-02-20 19:01:47.2292990,2026-02-20 19:01:48.9180436,2026-02-20 19:01:47.2292990,0,33586009,262,,,,D:\$MFT
42,1,True,36,1,.\System Volume Information,FVE2.{24e6f0ae-6a00-4f73-984b-75ce9942852d},.{24e6f0ae-6a00-4f73-984b-75ce9942852d},8192,1,,False,False,False,False,False,False,Hidden|System|Archive,Posix,2026-02-20 19:01:47.2309945,,2026-04-10 12:02:41.1779850,2026-02-20 19:01:47.2309945,2026-04-10 12:02:41.1779850,2026-02-20 19:01:47.2309945,2026-04-10 12:02:41.1779850,2026-02-20 19:01:47.2309945,0,687884155,262,,,,D:\$MFT
43,1,True,36,1,.\System Volume Information,FVE2.{da392a22-cae0-4f0f-9a30-b8830385d046},.{da392a22-cae0-4f0f-9a30-b8830385d046},65536,1,,False,False,False,False,False,False,Hidden|System|Archive,Posix,2026-02-20 19:01:47.2675123,,2026-04-10 12:02:41.1779850,2026-02-20 19:01:47.2675123,2026-04-10 12:02:41.1779850,2026-02-20 19:01:47.2675123,2026-04-10 12:02:41.1779850,2026-02-20 19:01:47.2675123,40960,687891569,262,,,,D:\$MFT
44,17,True,5,5,.,Downloads,,0,1,,True,False,False,False,False,False,None,Posix,2026-04-01 13:20:48.9366591,,2026-04-13 10:56:42.8980813,2026-04-01 13:20:48.9366591,2026-04-13 10:56:42.8980813,2026-04-01 13:20:48.9366591,2026-04-13 10:56:42.8980813,2026-04-01 13:20:48.9366591,0,687897524,273,eb505fbd-2d34-11f1-a5bb-e86f3838a0ef,,,D:\$MFT
45,3,True,48,3,.\ISO,Windows.iso,.iso,4893900800,1,,False,False,False,False,False,True,Archive,Posix,2026-04-01 13:22:09.7392167,,2026-04-01 13:17:45.0057310,,2026-04-01 13:31:18.2479386,2026-04-01 13:30:40.8761497,2026-04-02 12:43:42.3344135,2026-04-01 13:22:52.9401905,0,553835689,278,eb506124-2d34-11f1-a5bb-e86f3838a0ef,,,D:\$MFT
46,3,True,44,17,.\Downloads,VirtualBox-7.2.6a-172322-Win.exe,.exe,177448040,1,,False,False,False,False,False,False,Archive,Posix,2026-04-01 13:23:20.9108383,,2026-04-01 13:23:33.1011110,2026-04-01 13:23:32.0400807,2026-04-01 13:23:46.7860004,2026-04-01 13:23:32.0400807,2026-04-13 11:07:33.7882108,2026-04-01 13:23:32.0400807,0,687897428,278,,,,D:\$MFT
47,6,True,5,5,.,VirtualBox,,0,1,,True,False,False,False,False,False,None,Posix,2026-04-01 13:26:19.9512940,,2026-04-01 19:47:09.5634568,2026-04-01 13:26:19.9512940,2026-04-01 19:47:09.5634568,2026-04-01 13:26:19.9512940,2026-04-13 12:27:47.5849195,2026-04-01 13:26:19.9512940,0,687900509,273,eb5060d1-2d34-11f1-a5bb-e86f3838a0ef,,,D:\$MFT
48,3,True,5,5,.,ISO,,0,1,,True,False,False,False,False,False,None,Posix,2026-04-01 13:29:45.4444571,,2026-04-01 13:30:56.0791169,2026-04-01 13:29:45.4444571,2026-04-01 13:30:56.0791169,2026-04-01 13:29:45.4444571,2026-04-07 19:29:37.0610213,2026-04-01 13:29:45.4444571,0,622757896,273,eb5060ef-2d34-11f1-a5bb-e86f3838a0ef,,,D:\$MFT
49,3,True,5,5,.,ToolsForensic,,0,1,,True,False,False,False,False,False,None,Posix,2026-04-01 13:29:50.5396442,,2026-04-01 13:29:50.5396442,,2026-04-01 13:29:57.5328848,2026-04-01 13:29:50.5396442,2026-04-09 12:17:53.4575366,2026-04-01 13:29:50.5396442,0,662519368,273,eb5060f0-2d34-11f1-a5bb-e86f3838a0ef,,,D:\$MFT
50,4,True,47,6,.\VirtualBox,Windows,,0,1,,True,False,False,False,False,False,None,Posix,2026-04-01 13:32:26.1238417,,2026-04-09 12:38:04.1136495,2026-04-01 13:32:26.1238417,2026-04-09 12:38:04.1136495,2026-04-01 13:32:26.1238417,2026-04-13 12:27:47.5695758,2026-04-01 13:32:26.1238417,0,687900543,273,,,,D:\$MFT
